ell,Dl_TT_muK2,Dl_EE_muK2,Dl_TE_muK2,Cl_TT,Cl_EE,Cl_TE,Cl_BB
1593,120.15861688270589,1.307301731371314,-3.684789719120371,1.0908989148835961e-16,1.186876211774765e-18,-3.345355672732609e-18,0.0
1594,120.02384521889671,1.3059137934618885,-3.680767224095589,1.088308982618896e-16,1.1841294614069986e-18,-3.3375134962612982e-18,0.0
1595,119.89077986321789,1.3045441550094097,3.676796678263694,1.0857401367912058e-16,1.1814052347695421e-18,3.329735391633916e-18,0.0
1596,119.7594154589943,1.3031927615236198,3.6728779227195227,1.0831922558249316e-16,1.1787034044206967e-18,3.322020992864954e-18,0.0
1597,119.62974661766302,1.3018595581444727,3.66901079754745,1.0806652183659112e-16,1.1760238431168124e-18,3.314369934587058e-18,0.0
1598,119.50176791898926,1.3005444896444458,3.6651951418279722,1.078158903282928e-16,1.1733664238141347e-18,3.3067818520559553e-18,0.0
1599,119.37547391127879,1.2992475004308126,3.6614307936441657,1.0756731896691803e-16,1.1707310196705971e-18,3.299256381155243e-18,0.0
1600,119.2508591115853,1.2979685345478673,3.6577175900880006,1.0732079568436916e-16,1.1681175040475555e-18,3.2917931584009953e-18,0.0
1601,119.12791800591384,1.2967075356791025,3.654055367266541,1.0707630843526725e-16,1.165525750511464e-18,3.284391820946225e-18,0.0
1602,119.00664504941969,1.2954644471493406,3.650443960307995,1.0683384519708287e-16,1.1629556328354965e-18,3.277052006585175e-18,0.0
1603,118.887034666603,1.2942392119268182,3.646883203367643,1.065933939702618e-16,1.1604070250011087e-18,3.269773353757457e-18,0.0
1604,118.76908125149963,1.2930317726252318,3.6433729296336512,1.0635494277834626e-16,1.1578798011995548e-18,3.262555501552051e-18,0.0
1605,118.65277916786688,1.2918420715057286,3.6399129713327243,1.0611847966809023e-16,1.155373835833337e-18,3.255398089711123e-18,0.0
1606,118.53812274936625,1.290670050478863,3.636503159735675,1.058839927095711e-16,1.1528890035176157e-18,3.248300758633729e-18,0.0
1607,118.42510629974103,1.2895156511065013,3.6331433251628313,1.0565146999629559e-16,1.1504251790815578e-18,3.241263149379346e-18,0.0
1608,118.3137240929905,1.2883788146036905,3.629833296989341,1.0542089964530156e-16,1.1479822375696398e-18,3.2342849036712737e-18,0.0
1609,118.20397037353978,1.2872594818404741,3.626572903650348,1.0519226979725491e-16,1.1455600542428947e-18,3.227365663899885e-18,0.0
1610,118.0958393564059,1.286157593343677,3.623361972646047,1.0496556861654224e-16,1.143158504580116e-18,3.220505073125747e-18,0.0
1611,117.98932522735974,1.285073089298638,3.6202003305466177,1.0474078429135863e-16,1.1407774642790065e-18,3.213702775082592e-18,0.0
1612,117.88442214308444,1.284005909550908,3.617087802997052,1.0451790503379161e-16,1.1384168092572852e-18,3.2069584141801705e-18,0.0
1613,117.78112423132907,1.2829559936078998,3.614024214721833,1.0429691907990005e-16,1.1360764156537376e-18,3.2002716355069466e-18,0.0
1614,117.67942559105997,1.2819232806405085,3.6110093895295456,1.0407781468978984e-16,1.1337561598292345e-18,3.1936420848326977e-18,0.0
1615,117.57932029260684,1.2809077094846768,3.6080431503173247,1.0386058014768433e-16,1.1314559183676884e-18,3.1870694086109503e-18,0.0
1616,117.48080237780624,1.279909218642935,3.6051253190752357,1.0364520376199178e-16,1.1291755680769791e-18,3.180553253981323e-18,0.0
1617,117.38386586014069,1.2789277462858908,3.6022557168904994,1.0343167386536778e-16,1.1269149859898262e-18,3.174093268771717e-18,0.0
